horse_name,section,show_class,show,rider,place,entries,points
Horse: Atlantis E        #17740   ,Low Children's Jumper,$200 Low Children's Jumper 1.00m 340.c,World Equestrian Ocala Winter Spectacular #1,Gwendolyn Peace,8,18,1
Horse: Atlas        #18815   ,Large Pony Hunter,Medium/Large Pony Hunter Model,World Equestrian Ocala Winter Spectacular #4,Izzy Green,5,5,2
Horse: Atlas Peak        #11818   ,USHJA/NSBA 3' Hunter,USHJA Hunter 3' U/S (California Split),World Equestrian Center Winter Classic #19,Cody E. Lewis Shultz,1,3,8
Horse: Attaboy        #18706   ,Thoroughbred Jumper,Thoroughbred Jumper 1.00m 340.c,World Equestrian Ocala Winter Spectacular #3,Zachary Brandt,2,7,7
Horse: Atterbury        #19176   ,Adult Hunter 36 and over,$200 Adult Amateur Hunter 50+ (1st round Classic,World Equestrian Ocala Winter Spectacular #5,Rhonda Bartolacci,5,13,4
Horse: Attila        #17892   ,Adult Hunter 18-35,$200 Adult Hunter 18-35,World Equestrian Ocala Winter Spectacular #2,Charlotte Black,8,27,1
Horse: Attila D' Elle        #20843   ,Low Jr/AO Jumper,$5000 Low Jr/Am/AO Classic 1.20m 340.c,World Equestrian Ocala Winter Spectacular #8,Anne Berg,6,33,3
Horse: Atze        #21052   ,Children's Hunter 14 & under,$200 Children's Hunter 14 & under,World Equestrian Ocala Winter Spectacular #9,Leah Munoz,5,9,4
Horse: Auburn        #19278   ,.65m Jumper Open,$100 .65m Jumper 340.c,World Equestrian Ocala Winter Spectacular #5,Brenna Doherty,5,14,4
Horse: Auckland        #21109   ,"Green Hunter 3'3""","$350 Green Hunter 3'3""",World Equestrian Ocala Winter Spectacular #10,Bailey Coulombe Elliott,5,6,4
Horse: Audacious Crown        #18039   ,.65m Jumper Open,$100 .65m Jumper 340.c,World Equestrian Ocala Winter Spectacular #2,Maddie Farrell,4,13,5
Horse: Audience Of One        #22555   ,Intermediate Adult Hunter,"Intermediate Adult Hunter (1st Rnd Classic) 2'6""",World Equestrian Center Winter Classic #19,Kaylee Dawidiuk,4,23,5
Horse: Audience Of One        #22577   ,"USHJA/NSBA 2'6"" Hunter","USHJA Hunter 2'6"" (California Split)",World Equestrian Center Winter Classic #19,Tina Judge-Boyle,6,39,3
Horse: Augustino        #18504   ,Green Hunter 3',"$350 Green Hunter 3'0""",World Equestrian Ocala Winter Spectacular #5,Robin Swinderman Mitchell,6,26,3
Horse: Aurora        #18967   ,1.20m Jumper,$500 1.20 Meter Jumper 339.a,World Equestrian Ocala Winter Spectacular #4,Christina Kelly,3,40,6
Horse: Ausone        #21034   ,"Performance Hunter 3'3""","$350 Performance Hunter 3'3""",World Equestrian Ocala Winter Spectacular #9,Kelsey Donahoe,4,10,5
Horse: Austin        #13336   ,Novice Children's/Adult Jumper,$150 Novice Adult Jumper .90-.95m 343.b,World Equestrian Ocala Winter Spectacular #6,Karen Boebinger,7,19,2
Horse: Authentic        #20014   ,Limit/Long Stirrup Hunter,Long Stirrup Hunter,World Equestrian Ocala Winter Spectacular #7,Nora Wade,1,18,8
Horse: Automatic Alibi        #21083   ,Novice Children's/Adult Jumper,$500 Novice Adult Jumper Classic .90-.95m 340.c,World Equestrian Ocala Winter Spectacular #9,Cassidy Edmondson,12,21,0
Horse: Ava        #20636   ,"WEC 3'6""-3'9"" Derby","$20000 WEC Hunter Derby 3'6""-3'9""",World Equestrian Ocala Winter Spectacular #8,Kathryn Jarriel,6,16,3
Horse: Avail Ekati        #21071   ,Thoroughbred Hunter,Thoroughbred Hunter,World Equestrian Ocala Winter Spectacular #9,Emily Castrenze,3,4,6
Horse: AVanKirk        #21354   ,USHJA/NSBA 2' Hunter,NSBA Hunter 2',World Equestrian Ocala Winter Spectacular #10,karen b. Reid,6,6,3
Horse: Avanti        #21509   ,Baby Green Hunter,"Baby Green Hunter 2'6"" U/S",World Equestrian Ocala Winter Spectacular #10,Michelle Stopford,7,15,2
Horse: Avanti        #22109   ,Baby Green Hunter,"Baby Green Hunter 2'6""",World Equestrian Ocala Winter Spectacular #12,Michelle Stopford,2,11,7
Horse: Avellino Z        #12013   ,Intermediate Children's Hunter,$100 Intermediate Children's Hunter,World Equestrian Ocala Winter Spectacular #12,Mia Lowery,3,18,6
Horse: Aventuur        #17315   ,Adult Hunter 18-35,$200 Adult Hunter 18-35,World Equestrian Ocala Winter Spectacular #2,Shannon Allen,7,24,2
Horse: Aviator        #17996   ,USHJA/NSBA 3' Hunter,NSBA Hunter 3',World Equestrian Ocala Winter Spectacular #2,Roger W. Turner,1,33,10
Horse: Aviatrix        #17584   ,Children's Jumper,$500 Childrens Jumper 1.10m 340.c,World Equestrian Ocala Winter Spectacular #1,Hannah Haines,8,9,1
Horse: Ayo K        #21650   ,Intermediate Children's Hunter,$100 Intermediate Children's Hunter,World Equestrian Ocala Winter Spectacular #11,Samantha Jurick,3,21,6
Horse: Azealia        #18203   ,Low Children's Jumper,$200 Low Children's Jumper 1.00m 339.a,World Equestrian Ocala Winter Spectacular #8,Cooper J. Beisel,6,23,3
Horse: Aznar        #17346   ,.65m Jumper Open,$100 .65m Jumper 343.b,World Equestrian Ocala Winter Spectacular #1,Marcus Barros,8,10,1
Horse: Babine De Vesquerie        #20710   ,1.20m Jumper,$500 1.20 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #11,Kirk Webby,4,27,5
Horse: Babybel        #18742   ,Short Stirrup Hunter,Short Stirrup Hunter,World Equestrian Ocala Winter Spectacular #11,Ava Hillary,3,14,6
Horse: Baccarat        #22619   ,Low Children's Jumper,Low Children's Jumper 1.00m 2.2d,World Equestrian Center Winter Classic #19,Caroline Keville,6,11,3
Horse: Baccarat        #22278   ,Low Children's Jumper,Low Children's Jumper 1.00m 2.2b,World Equestrian Center Winter Classic #17,Casey Van Nostrand,5,8,4
Horse: Bad & Boujee        #17486   ,Novice Children's/Adult Jumper,$500 Novice Adult Classic .90-.95m 340.c,World Equestrian Ocala Winter Spectacular #11,Grayson Fallon,8,20,1
Horse: Bad Alibi        #19959   ,"Young Hunter 2'9""-3'-3'3""","Young Hunter 3' & 3'3"" & 3'3""",World Equestrian Ocala Winter Spectacular #7,Tameron Petersen,6,8,3
Horse: Bada Bing Bada Boom        #17233   ,Future Hunter,"Future Hunter 1'6""-2'",World Equestrian Ocala Winter Spectacular #1,Annalisa Wray,2,6,7
Horse: Badabing        #12964   ,USHJA/NSBA 3' Hunter,NSBA Hunter 3',World Equestrian Ocala Winter Spectacular #6,Melissa P. Donnelly,2,23,7
Horse: Bagheera De Jaldis        #17578   ,1.35m Jumper,$1000 1.35 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #1,Clark Montgomery,2,15,7
Horse: Bahama Boy        #17602   ,Low Adult Jumper,$200 Low Adult Jumper 1.00m 339.a,World Equestrian Ocala Winter Spectacular #1,Eileen Oleary,2,13,7
Horse: Bahia Mouche        #21186   ,Low Jr/AO Jumper,$5000 Low Jr/Am/AO Classic 1.20m 340.c,World Equestrian Ocala Winter Spectacular #9,Melissa F. Rudershausen,2,24,7
Horse: BalasZ        #14893   ,Low Adult Jumper,$200 Low Adult Jumper 1.00m 339.a,World Equestrian Ocala Winter Spectacular #9,Peyton Hunt,6,15,3
Horse: Balboa        #18559   ,"USHJA/NSBA 2'3"" Hunter","NSBA Hunter 2'3"" U/S",World Equestrian Ocala Winter Spectacular #7,Huntlee Taylor,3,25,6
Horse: Balducchy        #20102   ,"Non Pro Derby 2'6""","$2500 Non Pro Hunter Derby 2'6""",World Equestrian Ocala Winter Spectacular #7,Kylie Reynolds,2,48,7
Horse: Balkan De Luce        #21217   ,Low Adult Jumper,$200 Low Adult Jumper 1.00m 340.c,World Equestrian Ocala Winter Spectacular #9,Heather Lee,5,10,4
Horse: Balladeer        #19215   ,"USHJA/NSBA 2'6"" Hunter","NSBA Hunter 2'6""",World Equestrian Ocala Winter Spectacular #5,Richard Rinehart,1,45,10
Horse: Ballingowan Zeal        #18192   ,1.25m Jumper,$600 1.25 Meter Jumper 339.cb,World Equestrian Ocala Winter Spectacular #2,Shanon Baker,5,5,4
Horse: Ballinteskin Joe        #19452   ,Open Jumper by Points,"$20,000 Welcome Prix 1.45m 340.c",World Equestrian Ocala Winter Spectacular #11,Willie Tynan,5,36,4
Horse: Ballon Bleu        #21297   ,1.25m Jumper,$600 1.25 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #9,John Brown,6,9,3
Horse: Ballyknock Vivendi Blaze        #20313   ,Low Jr/AO Jumper,$1000 Low Jr/Am/Am Own 1.20m 339.a,World Equestrian Ocala Winter Spectacular #7,Lanie Nash,8,40,1
Horse: Ballymoons Vdl Cavalier        #21401   ,Novice Children's/Adult Jumper,$150 Novice Children's Jumper .90-.95m 340.c,World Equestrian Ocala Winter Spectacular #10,Sophie Poirier,6,11,3
Horse: Balota        #19816   ,Novice Children's/Adult Jumper,$500 Novice Children's Jumper Classic .90-.95m 3,World Equestrian Ocala Winter Spectacular #6,Abbie Rummell,10,23,0
Horse: Balou        #21037   ,"Performance Hunter 3'3""","$350 Performance Hunter 3'3""",World Equestrian Ocala Winter Spectacular #9,Amanda P. Steege,1,28,10
Horse: Balou Belle        #18867   ,USHJA/NSBA 3' Hunter,NSBA Hunter 3',World Equestrian Ocala Winter Spectacular #4,Robin A. Rost Brown,8,20,1
Horse: Balou Du Foi        #21117   ,Baby Green Hunter,"Baby Green Hunter 2'6""",World Equestrian Ocala Winter Spectacular #9,Isaac Leffkowitz,7,14,2
Horse: Balou Du Joule        #17156   ,Green Hunter 3',"$350 Green Hunter 3'0""",World Equestrian Ocala Winter Spectacular #1,Tommi A. Clark,4,13,5
Horse: Balou Label        #18807   ,"Performance Hunter 3'3""","$350 Performance Handy Hunter 3'3""",World Equestrian Ocala Winter Spectacular #6,Molly Braswell,8,50,1
Horse: Balou Moon BHF        #10348   ,1.20m Jumper,$500 1.20 Meter Jumper - 339.a,World Equestrian Ocala Winter Spectacular #8,Hanna E. Toering,3,56,6
Horse: Balou Velvet        #21038   ,"Performance Hunter 3'3""","$350 Performance Hunter 3'3""",World Equestrian Ocala Winter Spectacular #9,Samantha Ruttura,3,28,6
Horse: Baloubella        #15083   ,Low Jr/AO Jumper,$1000 Low Jr/Am/AO 1.20m 339.a,World Equestrian Ocala Winter Spectacular #10,Sima Morgello,5,18,4
Horse: Balouberry London        #13931   ,Low Children's Jumper,$750 Low Children's Jumper Classic 1.00m 340.c,World Equestrian Ocala Winter Spectacular #4,Elizabeth Suddath,9,11,0
Horse: Balous afternoon gentlemen        #18535   ,Baby Green Hunter,"Baby Green Hunter 2'6""",World Equestrian Ocala Winter Spectacular #3,Shannon Foust-Graham,8,21,1
Horse: Balsham Meadow Artemis        #15555   ,Medium Pony Hunter,"$300 Medium Pony Conf Hunter 2'6""",World Equestrian Center Winter Classic #19,Emily Coley,4,8,5
Horse: Baltazar D Z        #18227   ,Open Jumper by Points,"$20,000 Welcome Prix 1.45m 340.c",World Equestrian Ocala Winter Spectacular #3,Trapp O'Neal,2,24,7
Horse: Baltazar De Tivoli        #22177   ,1.35m Jumper,$1000 1.35 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #12,juan hidalgo,3,21,6
Horse: Baluga        #11811   ,Intermediate Adult Hunter,$100 Intermediate Adult Hunter,World Equestrian Ocala Winter Spectacular #6,Alessandra Beese,8,30,1
Horse: Bam Bam        #14525   ,Low Children's Jumper,Low Children's Jumper 1.00m,World Equestrian Center Winter Classic #7,Autumn D. Bradbury,5,12,4
Horse: Bambolino        #18444   ,"Performance Hunter 3'3""","$350 Performance Hunter 3'3""",World Equestrian Ocala Winter Spectacular #3,Amanda P. Steege,2,30,7
Horse: Banco Du Moulin        #22638   ,Open Jumper by Points,$1000 1.30 Meter Jumper 2.1,World Equestrian Center Winter Classic #19,Kady Abrahamson,6,10,3
Horse: Banco Du Moulin        #18676   ,High Jr/AO Jumper,$10000 High Jr/Am/Am Own Classic 1.45m 340.c,World Equestrian Ocala Winter Spectacular #7,Kady Abrahamson,11,21,0
Horse: Banderas de Bornival        #15899   ,1.35m Jumper,$1000 1.35 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #7,Reid Rickett,1,10,10
Horse: Banderas Leap        #15196   ,Children's Hunter 15-17,$200 Children's Hunter 15-17,World Equestrian Ocala Winter Spectacular #6,Alicia Wilkinson,10,16,0
Horse: Bandessaro        #17566   ,1.40m Jumper,$1500 1.40 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #7,Candice King,6,18,3
Horse: Bandolier        #18739   ,Short Stirrup Hunter,Short Stirrup Hunter,World Equestrian Ocala Winter Spectacular #3,Emma Almes,3,12,6
Horse: Baral Singular        #19275   ,.65m Jumper Open,$100 .65m Jumper 343.b,World Equestrian Ocala Winter Spectacular #5,Anna Easton,3,10,6
Horse: Barana van het wimpelhof        #22137   ,Novice Children's/Adult Jumper,$500 Novice Adult Jumper Classic .90-.95m 340.c,World Equestrian Ocala Winter Spectacular #12,Olga Zarlenga,7,18,2
Horse: Barcalux        #19355   ,Adult Jumper,$2500 Adult Amateur Jumper Classic 1.10m 340.c,World Equestrian Ocala Winter Spectacular #5,Katie M. Smith,10,24,0
Horse: Barcelona        #15230   ,Low Children's Jumper,$200 Low Children's Jumper 1.00m 339.a,World Equestrian Ocala Winter Spectacular #3,Zoe Kotronis,6,24,3
Horse: Bare Necessities        #21347   ,Children's Hunter 15-17,$200 Children's Hunter 15-17,World Equestrian Ocala Winter Spectacular #10,Delaney Dougherty,5,6,4
Horse: Barillo W.        #17724   ,Low Jr/AO Jumper,$1000 Low Jr/Am/Am Own 1.20m 340.c,World Equestrian Ocala Winter Spectacular #1,Lynsey K. Whitacre,4,18,5
Horse: Baristo        #20061   ,"USHJA/NSBA 2'9""","NSBA Hunter 2'9""",World Equestrian Ocala Winter Spectacular #7,Richard P. Cheska,2,47,7
Horse: Baristo        #22531   ,Baby Green Hunter,"Baby Green Hunter 2'6""",World Equestrian Center Winter Classic #19,Renee F. Lenkart,3,11,6
Horse: Barolo        #19356   ,Children's Jumper,$500 Childrens Jumper 1.10m 340.c,World Equestrian Ocala Winter Spectacular #10,Calista Smith,7,9,2
Horse: Barroom Bouncer        #21454   ,Thoroughbred Jumper,Thoroughbred Jumper 1.00m 340.c,World Equestrian Ocala Winter Spectacular #10,Kelly M. Boltz,1,4,8
Horse: Bases Loaded        #21263   ,"USHJA/NSBA 2'3"" Hunter","NSBA Hunter 2'3""",World Equestrian Ocala Winter Spectacular #9,Lauren Gee,7,27,2
Horse: Bastian K        #16948   ,Intermediate Adult Hunter,Intermediate Adult Hunter U/S,World Equestrian Center Winter Classic #17,Brittany Bogan,4,20,5
Horse: Batman VDL        #10354   ,USHJA/NSBA 3' Hunter,USHJA Hunter 3' (California Split),World Equestrian Center Winter Classic #19,Rebecca Slater,8,27,1
Horse: Bay Eclipse        #17596   ,Novice Children's/Adult Jumper,$500 Novice Children's Classic .90-.95m 340.c,World Equestrian Ocala Winter Spectacular #1,Destiny Pastermack,3,18,6
Horse: Bayview        #20620   ,"Green Hunter 3'3""","$350 Green Hunter 3'3""",World Equestrian Ocala Winter Spectacular #9,Mary Meghann Huitt,7,8,2
Horse: Bea Ready        #19882   ,Modified Children's/Adult Jumper,$600 Modified Child/Adult Jumper 1.15m 339.a,World Equestrian Ocala Winter Spectacular #6,Ina Mcnichols,7,16,2
Horse: Beatrix Potter        #21643   ,"USHJA/NSBA 2'3"" Hunter","NSBA Hunter 2'3""",World Equestrian Ocala Winter Spectacular #11,Morgan Ashby,7,22,2
Horse: Beau        #17985   ,USHJA/NSBA 3' Hunter,NSBA Hunter 3' U/S,World Equestrian Ocala Winter Spectacular #3,Alexandra Gilbertson,6,16,3
Horse: Beaujolais Du Ruet        #15594   ,Adult Jumper,$1500 NAL/WIHS Adult Jumper Classic 1.15m 2.2b,World Equestrian Center Winter Classic #17,Helen Mills,8,9,1
Horse: Beaukado Z        #19347   ,Young Jumper 6 Year Old,$250 6 Year Old Young Jumpers 343.b,World Equestrian Ocala Winter Spectacular #5,Brock Clermont,3,11,6
Horse: Beaulieu's Cool Quote        #21069   ,Adult Hunter 36 and over,$200 Adult Amateur Hunter 50+ (1st round Classic,World Equestrian Ocala Winter Spectacular #9,Mary B. Antonini,5,14,4
Horse: Beautify SV        #22276   ,Non Professional Hunter,"Non Professional Hunter 2'6""",World Equestrian Center Winter Classic #17,Kathi-Jo Rhyner,8,11,1
Horse: Beaverwoods Hydrangia        #22249   ,Large Pony Hunter,"$300 Large Pony Conf 2'9""",World Equestrian Center Winter Classic #17,Kaitlyn Carney,1,5,8
Horse: Beaverwoods Tarmigan        #17214   ,USHJA/NSBA 2' Hunter,NSBA Hunter 2',World Equestrian Ocala Winter Spectacular #1,Abigail Flattich,4,10,5
Horse: Beckton        #17930   ,Thoroughbred Hunter,Thoroughbred Hunter,World Equestrian Ocala Winter Spectacular #3,Ashley March,1,2,8
Horse: Becoming        #21247   ,"Amateur Owner Hunter 3'3"" 18-35","$300 Amateur Owner Hunter 3'3"" 18-35 Years",World Equestrian Ocala Winter Spectacular #9,Sophie Lenihan,2,8,7
Horse: Behold        #19207   ,Green Hunter 3',"$350 Green Hunter 3'0""",World Equestrian Ocala Winter Spectacular #12,Josh Dolan,7,23,2
Horse: Belanus Valentino        #21357   ,USHJA/NSBA 2' Hunter,NSBA Hunter 2',World Equestrian Ocala Winter Spectacular #10,Eva Spicola,3,6,6
Horse: Believe        #17390   ,Low Adult Jumper,$200 Low Adult Jumper 1.00m 340.c,World Equestrian Ocala Winter Spectacular #1,Dorian Durig,4,17,5
Horse: Believe in a Dream        #20029   ,USHJA/NSBA 2' Hunter,NSBA Hunter 2',World Equestrian Ocala Winter Spectacular #7,Nicole McFadyen,4,24,5
Horse: Bella Grace        #15920   ,Children's Jumper,$200 Childrens Jumper 1.10m 2.1,World Equestrian Center Winter Classic #18,Lea Landin,5,12,4
Horse: Bella Olympic        #19378   ,1.20m Jumper,$500 1.20 Meter Jumper 339.a,World Equestrian Ocala Winter Spectacular #5,Roberto Daza,7,71,2
Horse: Bella Van Bruxvoort        #17601   ,Low Adult Jumper,$200 Low Adult Jumper 1.00m 340.c,World Equestrian Ocala Winter Spectacular #1,Janine Velutini,7,17,2
Horse: Belladonna        #17512   ,1.20m Jumper,$500 1.20 Meter Jumper - 340.c,World Equestrian Ocala Winter Spectacular #1,Katherine Pontone,1,25,10
Horse: Bellagia HH        #18127   ,Low Adult Jumper,$200 Low Adult Jumper 1.00m 340.c,World Equestrian Ocala Winter Spectacular #1,Audrey L'Esperance,9,17,0
Horse: Bellagio        #12914   ,Intermediate Children's/Adult Jumper,$500 Intermediate Child/Adult Jumper Classic .80,World Equestrian Center Winter Classic #18,Kirsten Offenbaker,1,13,10
Horse: Bellanca        #19594   ,Modified Children's/Adult Jumper,$600 Modified Child/Adult Jumper 1.15m 339.a,World Equestrian Ocala Winter Spectacular #6,Schuyler Dayner,4,16,5
Horse: Belle        #17697   ,.65m Jumper Open,$100 .65m Jumper 340.c,World Equestrian Ocala Winter Spectacular #4,Jane Baysore,5,16,4
Horse: Belle Amie Z        #18619   ,"USHJA/NSBA 2'9""","USHJA Hunter 2'9""",World Equestrian Center Winter Classic #18,David Q. Beisel,8,17,1
Horse: Belle Vue        #14919   ,Low Adult Jumper,$750 Low Adult Jumper Classic 1.00m 340.c,World Equestrian Ocala Winter Spectacular #3,Riley Franks,12,33,0
Horse: Bellini        #18750   ,Intermediate Adult Hunter,$100 Intermediate Adult Hunter,World Equestrian Ocala Winter Spectacular #12,Jennifer Carpenter,7,28,2
Horse: Bellscross Sunny Cruise        #19901   ,Low Adult Jumper,$750 Low Adult Jumper Classic 1.00m 340.c,World Equestrian Ocala Winter Spectacular #6,Julie Snyder,11,26,0
Horse: Belmondo        #17245   ,"USHJA/NSBA 2'3"" Hunter","NSBA Hunter 2'3"" U/S",World Equestrian Ocala Winter Spectacular #1,Finley Emerson,6,6,3
Horse: Beloved        #20007   ,Adult Hunter 18-35,$200 Adult Amateur Hunter 18-35,World Equestrian Ocala Winter Spectacular #7,Lauren Palko,7,37,2
Horse: Belunga        #10374   ,Intermediate Children's/Adult Jumper,Intermediate Children's/Adult Jumper .80m 2.2b,World Equestrian Center Winter Classic #17,Addison Hall,1,15,10
Horse: Benchmark        #19150   ,Children's Hunter 14 & under,$200 Children's Hunter 14 & under,World Equestrian Ocala Winter Spectacular #5,Madeline Rubin,2,11,7
Horse: Bendoctro        #17418   ,Low Adult Jumper,$200 Low Adult Jumper 1.00m 340.c,World Equestrian Ocala Winter Spectacular #1,Tracy A. Williams,1,17,10
